Front,Back
What happens to the process after it is moved to the ready queue following a `read()` system call?,"Moving the process to the ready queue unblocks it. The scheduler then assigns the CPU, allowing the process to resume at the system call completion."
"Define ""mount table"".","An in-memory data structure containing information about each mounted volume, used to track file systems and access."
Which UNIX systems typically include the STREAMS mechanism?,UNIX System V and subsequent releases.
Define STREAMS.,A UNIX I/O feature allowing dynamic assembly of driver code pipelines.
"Define ""Stream"" in the context of STREAMS.",A full-duplex connection between a device driver and a user-level process.
What are the main components of a STREAMS mechanism?,"Stream head, driver end, and zero or more stream modules."
Define stream head.,The interface between STREAMS and user processes.
Define driver end.,The interface between STREAMS and the controlled device.
Define stream modules.,Modules of functionality loadable into a STREAM.
Where are stream modules positioned within a STREAMS connection?,Between the stream head and the driver end.
What type of queues does each component of a STREAMS mechanism contain?,A pair of queues: a read queue and a write queue.
How is data transferred between components in a STREAMS mechanism?,Via message passing between queues.
What is the function of modules in STREAMS?,They provide STREAMS processing functionality.
How are modules added (pushed) onto a stream?,Using the `ioctl()` system call.
Provide an example of using a module in STREAMS.,Opening a USB device (like a keyboard) via a stream and pushing a module for input editing.
Define flow control in STREAMS.,"A method to pause a sender of I/O, which limits the data flow rate."
How does a STREAMS queue behave when *without* flow control?,It accepts all messages and immediately sends them to the adjacent queue without buffering.
How does a STREAMS queue behave when *with* flow control?,It buffers messages and does not accept new messages without sufficient buffer space.
What is involved in flow control between adjacent STREAMS module queues?,Control message exchanges.
What system calls can a user process use to write data to a device via STREAMS?,`write()` or `putmsg()`.
What type of data does the `write()` system call handle in STREAMS?,Raw data (unstructured byte stream).
What additional capability does the `putmsg()` system call provide compared to `write()` in STREAMS?,It allows the user to specify a message.
What happens after a user process writes data to a stream head?,The stream head copies the data into a message and delivers it to the next module's queue.
What is the path of data after it leaves the stream head when writing to a device?,"Copying continues from module to module until it reaches the driver end, and then the device."
What system calls can a user process use to read data from a stream head?,`read()` or `getmsg()`.
How does the `read()` system call process data received from a stream head?,The stream head gets the message and returns ordinary data (an unstructured byte stream).
What type of data does the `getmsg()` system call return to the process?,The entire message.
What is the general nature of STREAMS I/O?,"Asynchronous (or nonblocking), except when communicating directly with the stream head."
When does a user process block when writing to a stream?,If the next queue in the stream uses flow control and there is no room to copy the message.
When does a user process block when reading from a stream?,Until data becomes available.
What is a key responsibility of the driver end regarding device interaction?,"It must respond to interrupts (e.g., when a frame is ready from a network device)."
How does the driver end's handling of incoming data differ from the stream head's?,"Unlike the stream head, which may block, the driver end *must* handle all incoming data."
Must drivers support flow control within the STREAMS mechanism?,"Yes, drivers must support flow control."
What often happens if a device's buffer becomes full when interacting via STREAMS?,"The device typically drops incoming messages (e.g., a network card dropping frames)."
What is a major benefit of the STREAMS mechanism?,It provides a framework for modular and incremental development of device drivers and network protocols.
What is an advantage regarding the reusability of STREAMS modules?,"Modules are reusable by different streams or devices (e.g., a networking module for Ethernet and 802.11 wireless)."
"What type of data and information can STREAMS support transfer between modules, beyond just unstructured byte streams?",Message boundaries and control information.
How widely adopted is STREAMS in UNIX variants and for what purpose?,Most UNIX variants support STREAMS; it is preferred for implementing protocols and device drivers.
Provide an example of a system where the socket mechanism is implemented using STREAMS.,System V UNIX and Solaris.
What is a major factor in system performance?,I/O
How do heavy I/O demands affect the CPU?,They place heavy demands on the CPU by requiring execution of device-driver code and scheduling processes (blocking/unblocking).
What is the impact of context switches during I/O on system components?,They stress the CPU and hardware caches.
What can be exposed by heavy I/O demands in the kernel?,Inefficiencies in the kernel's interrupt-handling mechanisms.
How does I/O activity load the memory bus?,Through data copies between controllers/physical memory and kernel buffers/application space.
What is a major concern for computer architects regarding I/O?,Graceful coping with I/O demands.
Why is interrupt handling considered relatively expensive?,"It involves a state change, execution of the handler, and restoration of the state."
Under what condition can Programmed I/O (PIO) be more efficient than interrupt-driven I/O?,If busy waiting is minimized.
What overhead results from I/O completion unblocking a process?,Full context switch overhead.
What is a characteristic of network traffic in terms of system overhead?,High context-switch rate.
"In a remote login, what is the sequence of events on the local machine when a character is typed?",Character typed → keyboard interrupt → interrupt handler → device driver → kernel → user process.
"In a remote login, describe the network I/O system call process initiated by the user on the local machine.",User process issues network I/O system call → local kernel → network layers (packet construction) → network device driver.
"In a remote login, what happens after the network device driver processes the packet on the local machine?","Network device driver transfers packet to controller → sends character, generates interrupt."
How does the network I/O system call complete on the local machine in a remote login scenario?,Interrupt back up through kernel → network I/O system call completes.
"In a remote login, what is the initial event on the remote system when a packet is received?",Network hardware receives packet → interrupt generated.
"In a remote login, what happens on the remote system after an interrupt is generated for a received packet?",Character is unpacked from protocols → passed to the appropriate network daemon.
"In a remote login, how does the network daemon process the character on the remote system?",Network daemon identifies session → passes packet to subdaemon.
What type of overhead is consistently observed throughout the remote login character example?,Context switches and state switches.
What is the impact of the receiver echoing a character in a remote login scenario?,It doubles the work.
What is one way some systems reduce the main CPU's interrupt burden for terminal I/O?,By using separate front-end processors.
What is the primary job of an I/O channel?,To offload I/O work from the main CPU and keep data flowing smoothly.
How do I/O channels process programs?,They process more general/sophisticated programs tuned for specific workloads.
List a principle to improve I/O efficiency related to context switches.,Reduce the number of context switches.
List a principle to improve I/O efficiency related to data copies in memory.,Reduce data copies in memory (between device/application).
List a principle to improve I/O efficiency related to interrupt frequency.,"Reduce interrupt frequency by using large transfers, smart controllers, or polling (if busy waiting is minimal)."
List a principle to improve I/O efficiency related to increasing concurrency.,Increase concurrency by using DMA-knowledgeable controllers/channels to offload data copying from the CPU.
List a principle to improve I/O efficiency related to hardware processing.,Move processing primitives into hardware to enable concurrent operation with the CPU/bus.
List a principle to improve I/O efficiency related to system component balance.,"Balance CPU, memory subsystem, bus, and I/O performance, as overload in one area causes idleness in others."
How does the complexity of I/O devices vary?,"It varies significantly, from simple (e.g., mouse) to very complex (e.g., Windows disk driver)."
"What are some functions of a complex I/O device driver, such as a Windows disk driver?","Manages individual disks, implements RAID arrays, converts requests to disk I/O, performs error handling, data recovery, and optimizes performance."
What are the three main locations where I/O functionality can be implemented?,"Device hardware, device driver (kernel), or application software."
Where were experimental I/O algorithms initially implemented?,At the application level.
What are the advantages of implementing experimental I/O algorithms at the application level?,"Flexible, bugs are unlikely to crash the system, and no reboot/reload of drivers is needed after code changes."
What are the disadvantages of implementing experimental I/O algorithms at the application level?,"Innefficient due to context switch overhead, and lacks access to internal kernel data/functionality (e.g., messaging, threading, locking)."
What is an example of a system interface that allows user-mode file systems?,FUSE (Filesystem in Userspace).
Where are I/O algorithms typically reimplemented once they are proven?,In the kernel.
What is the main advantage of reimplementing I/O functionality in the kernel?,Improves performance.
What are the challenges of reimplementing I/O functionality in the kernel?,"More challenging development (due to large, complex kernel), and must be thoroughly debugged to avoid data corruption or system crashes."
Where is the highest I/O performance achieved?,Through specialized implementation in hardware (device or controller).
What are the disadvantages of implementing I/O functionality in hardware?,"Difficulty/expense of improvements/bug fixes, increased development time (months vs. days), and decreased flexibility (e.g., hardware RAID controller may not allow the kernel to influence I/O order/location)."
What is the current trend observed in I/O device speed?,"I/O devices are increasing in speed, with NVM devices nearing DRAM speed."
What is the impact of increasing I/O device speeds on system design and OS algorithms?,It increases pressure on I/O subsystems and OS algorithms to leverage the faster read/write speeds.
List the major components that affect the I/O performance of storage and network latency.,"CPU, caches, DRAM, NVM, PCIe, SSD, SAA, HDD."
"Define ""front-end processors.""",Small computers performing tasks in an overall system; they manage I/O and offload the main CPU.
"Define ""terminal concentrator.""",A type of front-end processor that multiplexes traffic from hundreds of remote terminals into one port.
"Define ""I/O channel.""","A dedicated, special-purpose CPU found in large systems (mainframes/high-end systems) used for I/O or offloading the main CPU."
What are the basic I/O hardware elements?,"Buses, device controllers, and devices."
How is data movement handled in an I/O system?,By the CPU (using programmed I/O) or by a DMA controller.
What is a device driver?,A kernel module responsible for controlling a specific hardware device.
What basic hardware categories does the system-call interface handle?,"Block devices, character-stream devices, memory-mapped files, network sockets, and programmed interval timers."
What is the typical behavior of system calls regarding processes?,System calls usually block processes.
When are nonblocking or asynchronous system calls used?,"By the kernel or applications that must not sleep (i.e., cannot afford to block)."
What services does the kernel's I/O subsystem provide?,"I/O scheduling, buffering, caching, spooling, device reservation, and error handling."
What is the purpose of name translation in I/O?,It connects hardware devices to symbolic file names.
What are the multiple mapping levels involved in I/O name translation?,"Character-string names map to device drivers/addresses, which then map to physical addresses (I/O ports/bus controllers)."
Where can I/O device mapping occur?,"Within the file-system name space (e.g., UNIX) or in a separate device name space (e.g., MS-DOS)."
What are STREAMS in UNIX?,A UNIX mechanism for the dynamic assembly of driver code pipelines.
How do drivers behave in a STREAMS pipeline?,"Drivers can be stacked, and data passes sequentially and bidirectionally through them."
Why are I/O system calls considered costly?,"Due to context switching (crossing the kernel protection boundary), signal/interrupt handling, and CPU/memory load for data copying between kernel buffers and application space."
