Front,Back
What immediately happens when a process without enough frames tries to execute?,It quickly page-faults.
"In the context of thrashing, what happens when a page needed immediately is replaced?",The process faults again and again.
"What is ""thrashing""?",High paging activity; spending more time paging than executing.
What is the primary result of thrashing?,Severe performance problems.
"Describe the initial scenario that can lead to thrashing, involving OS monitoring CPU utilization.","OS monitors CPU utilization; if it's low, the OS increases multiprogramming by initiating a new process."
What type of page-replacement algorithm exacerbates thrashing?,A global page-replacement algorithm (replaces pages without regard to the process they belong to).
What happens when a process needs more frames and a global replacement algorithm is used?,It starts faulting and takes frames from other processes.
What is the consequence when other processes lose frames due to a global replacement algorithm?,"They also fault and take frames from others, leading to a chain reaction."
How do faulting processes impact the paging device and the ready queue?,"Faulting processes heavily use the paging device, causing the ready queue to empty as processes wait."
"What happens to CPU utilization as processes wait for the paging device, and how does the CPU scheduler react?","CPU utilization decreases, prompting the CPU scheduler to *increase* multiprogramming further."
How does the new process initiated by the CPU scheduler contribute to the thrashing cycle?,"It takes frames, leading to more page faults and a longer paging device queue."
What happens to system throughput when thrashing occurs?,System throughput plunges.
What happens to the page-fault rate and effective memory-access time during thrashing?,"The page-fault rate increases tremendously, causing effective memory-access time to increase."
What is the overall state of the system when thrashing occurs?,No work is done; processes spend all their time paging.
"Describe the relationship between CPU utilization and the degree of multiprogramming, especially when thrashing occurs.","As multiprogramming increases, CPU utilization increases (slower) until it reaches a maximum. Further increases lead to thrashing, causing CPU utilization to drop sharply."
What is the immediate action to stop thrashing once it has begun?,Decrease the degree of multiprogramming.
What types of page replacement algorithms can limit the effects of thrashing?,Local replacement algorithm or priority replacement algorithm.
"Define ""local replacement algorithm"".",Page replacement algorithm that avoids thrashing by not allowing a process to steal frames from other processes.
"Define ""priority replacement algorithm"".",Page replacement algorithm that avoids thrashing by not allowing a process to steal frames from other processes.
What is a remaining problem even with local or priority replacement algorithms when thrashing processes exist?,"Thrashing processes still queue for the paging device, increasing the average service time for page faults and thus increasing effective access time for all processes."
What is the fundamental way to prevent thrashing?,Provide each process with enough frames.
What model is used to determine how many frames a process needs?,The locality model.
"Define ""locality model"".",A model where a process moves from locality to locality during its execution.
"Define ""locality model"" (from glossary).",Model for page replacement based on the working-set strategy.
"What is a ""locality"" in the context of the locality model?",A set of pages actively used together.
Describe characteristics of localities in a running program.,"A running program has several overlapping localities, defined by program structure and data structures."
Give an example of a change in locality.,"A function call might create a new locality (function instructions, local variables, subset of global variables); exiting a function leaves that locality."
What common computing principle is reflected by the locality model?,"The principle behind caching, which states that accesses are patterned, not random."
When does thrashing occur in relation to a process's locality?,When a process does not have enough frames for its current locality.
What is the working-set model based on?,The locality assumption.
"Define ""working-set model"" (from glossary).",Memory access model based on tracking the set of most recently accessed pages.
What parameter is used in the working-set model to define a 'window'?,"Delta (Δ), which defines the working-set window."
"Define ""working-set window"" (from glossary).","Limited set of most recently accessed pages (a ""window"" view of the entire set of accessed pages)."
"What is the ""working set"" of a process?",The set of pages in the most recent Delta (Δ) references (within the working-set window).
"Define ""working set"" (from glossary).",The set of pages in the most recent page references.
How do pages enter and leave the working set?,A page in active use is in the working set. A page no longer used drops from the working set Delta (Δ) time units after its last reference.
What does the working set approximate?,A program's locality.
What determines the accuracy of the working set?,The selection of the Delta (Δ) (working-set window) parameter.
What is the consequence if Delta (Δ) is too small for the working-set model?,It won't encompass the entire locality.
What is the consequence if Delta (Δ) is too large for the working-set model?,It may overlap several localities.
What does an infinite Delta (Δ) mean for the working set?,The working set becomes all pages touched during execution.
What is the most important property of the working-set model?,The working-set size.
How is the total demand for frames (D) calculated in the working-set model?,"D = sum of WSS_i, where WSS_i is the working-set size for each process i."
"When does thrashing occur according to the working-set model, in relation to available frames?","If the total demand for frames (D) is greater than the total available frames (m), some processes will lack frames and thrash."
How does the OS utilize the working-set model for frame allocation?,The OS monitors the working set of each process and allocates enough frames for its working-set size.
When does the OS initiate a new process according to the working-set model?,When there are enough extra frames available beyond the current demand.
What action does the OS take if the sum of working-set sizes exceeds available frames?,The OS suspends a process.
What happens to a suspended process's pages and frames in the working-set model?,"Its pages are swapped out, and its frames are reallocated to other processes. It is restarted later."
What are the benefits of using the working-set model for memory management?,"It prevents thrashing, keeps multiprogramming high, and optimizes CPU utilization."
What is a primary difficulty in implementing the working-set model?,Tracking the constantly moving working-set window.
How is the working-set window often approximated in practice?,Using a fixed-interval timer interrupt combined with reference bits.
Provide an example of parameters for approximating the working set using timer interrupts and reference bits.,"Delta (Δ) = 10,000 references, with an interrupt every 5,000 references."
How are reference bits used in the working-set approximation at a timer interrupt or page fault?,"At a timer interrupt, reference bits are copied and cleared. At a page fault, the current reference bit and two in-memory bits are examined; if at least one bit is on, it means the page was used within the last 10,000-15,000 references, thus in the working set."
What are the limitations of the working-set approximation using reference bits?,"It is not entirely accurate, as it cannot tell the exact reference time within an interval. Uncertainty can be reduced by increasing history bits or interrupt frequency, but at a higher cost."
"What is the ""Page-fault frequency (PFF)"" strategy used for?","It's a more direct strategy for thrashing control, often used as an alternative to the working-set model."
"Define ""page-fault frequency"" (PFF).",The frequency of page faults.
What is the primary goal of the PFF strategy?,To prevent thrashing by controlling the page-fault rate.
"According to the PFF strategy, what action is taken if the page-fault rate is too high?",The process needs more frames.
"According to the PFF strategy, what action is taken if the page-fault rate is too low?",The process may have too many frames.
How does the PFF strategy enforce desired page-fault rates?,By establishing upper and lower bounds on the desired page-fault rate.
What action is taken in the PFF strategy if the actual PFF exceeds the upper limit?,Allocate another frame to the process.
What action is taken in the PFF strategy if the actual PFF falls below the lower limit?,Remove a frame from the process.
What happens if PFF increases but no free frames are available in the system?,"A process is selected and swapped out to backing store, and its freed frames are then distributed to high-PFF processes."
What is the performance impact of thrashing and swapping in modern systems?,High performance impact.
What is considered the best practice to avoid thrashing and swapping today?,Include enough physical memory to avoid them.
What is the main benefit of providing enough physical memory to avoid thrashing?,It provides the best user experience across various devices (smartphones to large servers).
What is memory compression an alternative to?,Paging.
Define memory compression.,An alternative to paging; compresses frame contents to decrease memory usage.
How does memory compression reduce memory usage?,"It compresses several frames into a single frame, reducing memory usage without swapping pages."
What is a primary benefit of memory compression?,It reduces memory usage without swapping pages.
"What triggers page replacement in the context of memory compression (e.g., Figure 10.7.1)?",The free-frame list falling below a certain threshold.
"After page replacement is triggered in memory compression (e.g., Figure 10.7.1), what happens to selected frames (e.g., 15, 3, 35, 26)?",They are placed on a modified-frame list.
"In memory compression (e.g., Figure 10.7.1), what is done with frames on the modified-frame list instead of writing them to swap space?","They are compressed (e.g., three frames) into a single page frame."
"In the memory compression process (e.g., Figure 10.7.2), which type of frame is typically removed from the free-frame list to store compressed data?","A frame (e.g., Frame 7)."
"Where are compressed frames (e.g., 15, 3, 35) stored after compression in the memory compression process (e.g., Figure 10.7.2)?","In a single frame (e.g., Frame 7), which is then stored in a list of compressed frames."
"What happens to the original frames (e.g., 15, 3, 35) after their contents are compressed into another frame?",They are moved to the free-frame list.
What happens if a compressed frame is referenced?,"A page fault occurs, the frame is decompressed, and the original pages are restored."
"Do mobile systems (Android, iOS) typically support standard swapping/paging?","No, they generally do not."
"What is integral to the memory-management strategy of mobile systems (Android, iOS)?",Memory compression.
Which desktop operating systems support memory compression?,Windows 10 and macOS.
Which type of applications are candidates for memory compression on Windows 10 mobile devices?,Universal Windows Platform (UWP) apps.
Define Universal Windows Platform (UWP).,Windows 10 architecture providing a common app platform for all devices running it.
How does macOS (Version 10.9+) utilize memory compression?,"It compresses LRU (Least Recently Used) pages when free memory is short, then pages if needed."
How does memory compression performance compare to paging to SSD on macOS?,Memory compression is faster than paging to SSD on macOS.
What does memory compression require for storing compressed pages?,Allocating free frames.
What is an example of significant memory saving possible with memory compression?,Compressing 3 frames into 1.
What are the two main factors that have contention in memory compression?,Compression speed and compression ratio.
Define compression ratio.,A measurement of compression effectiveness (ratio of compressed to uncompressed space).
What is the relationship between higher compression ratios and algorithm characteristics?,"Higher compression ratios typically require slower, more computationally expensive algorithms."
What do most memory compression algorithms aim to balance?,High compression ratios with fast algorithms.
How can memory compression performance be improved?,By parallel compression using multiple cores.
Name two examples of fast memory compression algorithms/implementations and their typical compression performance.,"Microsoft's Xpress and Apple's WKdm, which compress to 30-50% of the original size."
How are pages allocated for user-mode processes?,Pages are allocated from the kernel's free page frame list.
How is the kernel's free page frame list populated for user-mode processes?,"By page-replacement algorithms (e.g., Section 10.4)."
What is a characteristic of free pages for user-mode processes in physical memory?,They are scattered throughout physical memory.
What happens when a user-mode process requests a single byte of memory?,"An entire page frame is granted, leading to internal fragmentation."
What is one reason kernel memory is often allocated from a different free-memory pool than user-mode memory?,"Kernel requests varying data structure sizes, some less than a page, requiring conservative memory use and minimized fragmentation. Many OS do not subject kernel code/data to paging."
What is another reason kernel memory is often allocated from a different free-memory pool than user-mode memory?,"Hardware devices interact directly with physical memory (no virtual memory interface) and may require physically contiguous pages, which user-mode pages don't need."
What are two strategies for managing kernel free memory?,"The ""buddy system"" and ""slab allocation""."
How does the buddy system allocate memory?,From a fixed-size segment of physically contiguous pages.
What type of allocator does the buddy system use?,A power-of-2 allocator.
What happens if a memory request in the buddy system is not appropriately sized?,It is rounded up to the next highest power of 2.
Example: How is an 11 KB memory request satisfied by the buddy system?,With a 16-KB segment.
Describe the division process in the buddy system for a 21 KB request from an initial 256 KB segment.,"The 256 KB segment is divided into two buddies ($A_L$ and $A_R$), each 128 KB. One buddy ($A_L$) is divided into two 64-KB buddies ($B_L$ and $B_R$). The next-highest power of 2 for 21 KB is 32 KB. One 64-KB buddy ($B_L$) is divided into two 32-KB buddies ($C_L$ and $C_R$). One 32-KB buddy ($C_L$) is then used for the 21-KB request."
What is an advantage of the buddy system?,It can quickly combine adjacent buddies to form larger segments using coalescing.
Example: How does coalescing work in the buddy system when the kernel releases a $C_L$ unit?,"When the kernel releases a $C_L$ unit, $C_L$ and $C_R$ coalesce into a 64-KB segment ($B_L$). $B_L$ can then coalesce with $B_R$ to form a 128-KB segment ($A_L$), which can eventually form the original 256-KB segment."
What is a drawback of the buddy system?,Rounding up to the next highest power of 2 causes internal fragmentation.
Example: How does internal fragmentation occur in the buddy system for a 33-KB request?,"A 64-KB segment is allocated, meaning cannot guarantee less than 50% of the allocated unit is wasted."
What is the purpose of a single cache in slab allocation?,"A single cache is maintained for each unique kernel data structure (e.g., process descriptors, file objects, semaphores)."
What are caches populated with in slab allocation?,Objects (instantiations of kernel data structures).
Describe the initial state of objects when a cache is created in slab allocation.,Objects are initially marked as `free` and allocated to the cache.
How is the number of objects determined in a slab?,"It depends on the slab size (e.g., a 12-KB slab can hold six 2-KB objects)."
How does the slab allocator fulfill a request for a new object?,"The allocator assigns any `free` object from the cache, and the object is then marked `used`."
"Scenario: How does the slab allocator fulfill a kernel request for a process descriptor (`struct task_struct`, ~1.7 KB)?","The cache fulfills the request with a pre-allocated, free `struct task_struct` object."
What are the three states of slabs in Linux?,"Full, Empty, and Partial."
Define a 'Full' slab state in Linux.,All objects in the slab are `used`.
Define an 'Empty' slab state in Linux.,All objects in the slab are `free`.
Define a 'Partial' slab state in Linux.,The slab has both `used` and `free` objects.
In what order does the slab allocator attempt to satisfy a request?,"1. From a free object in a partial slab. 2. If none, from a free object from an empty slab. 3. If no empty slabs, a new slab is allocated from contiguous physical pages, assigned to the cache; object memory is allocated from the new slab."
What are the two main benefits of the slab allocator?,1. No memory wasted due to fragmentation. 2. Memory requests satisfied quickly.
Explain why the slab allocator prevents memory fragmentation.,"Each kernel data structure has an associated cache, which is made of slabs divided into object-sized chunks. When the kernel requests memory, the exact amount is returned."
Explain why the slab allocator satisfies memory requests quickly.,"It is effective for frequent object allocation/deallocation (common in the kernel). Objects are created in advance and quickly allocated from the cache. Released objects are marked free and returned to the cache, making them immediately available."
Where did the slab allocator first appear?,In the Solaris 2.4 kernel.
Which Linux kernel version adopted the slab allocator (referred to as SLAB)?,Linux Version 2.2+.
What are the recent Linux kernel memory allocators?,SLOB and SLUB.
What is the SLOB allocator designed for?,"Systems with limited memory (e.g., embedded systems)."
How does the SLOB allocator manage memory?,"It maintains three lists: `small` (<256 bytes), `medium` (<1,024 bytes), and `large` (other objects < page size), allocating from the appropriate list using a first-fit policy."
Which Linux kernel allocator is the default for Linux kernel (Version 2.6.24+)?,The SLUB allocator.
What did the SLUB allocator replace?,SLAB.
What are the improvements of SLUB over SLAB?,"Reduced SLAB overhead, stores metadata in the `page` structure (not with each slab), and has no per-CPU queues for objects (significant memory saving on multi-processor systems), leading to better performance with more processors."
Define 'power-of-2 allocator'.,Allocator in buddy system; satisfies memory requests in units sized as a power of 2.
Define 'buddies' in the context of the buddy system.,Pairs of equal size in buddy memory allocation.
Define 'coalescing'.,Combining freed memory in adjacent buddies into larger segments.
Define 'slab allocation'.,"Memory allocation method; slab split into object-sized chunks, eliminating fragmentation."
Define 'slab' in the context of slab allocation.,Section of memory (one or more contiguous pages) used in slab allocation.
Define 'cache' in the context of the slab allocator.,"In slab allocator, consists of one or more slabs."
Define 'object' in the context of the slab allocator.,Instance of a class or data structure.
What issue does pure demand paging face when a process starts?,A large number of page faults occur due to initial locality.
Define prepaging.,"Bringing pages into memory before they are requested, as an attempt to prevent high initial paging."
What is the strategy employed by prepaging?,To bring some or all needed pages into memory at once.
Provide an example of prepaging using the working-set model.,Remembering the working set for a suspended process and automatically bringing the entire working set back into memory before restarting.
What is the primary advantage of prepaging?,Comparing the cost of prepaging against the potential cost of servicing numerous page faults.
What is the main risk associated with prepaging?,"Many prepaged pages may not be used, leading to wasted memory and effort."
"In prepaging cost analysis, if 's' pages are prepaged and 'α' is the fraction of 's' pages actually used, what does 's · (1 - α)' represent?",The cost of unnecessary pages that were prepaged but not used.
Under what condition does prepaging generally result in a loss according to cost analysis?,If 'α' (the fraction of used prepaged pages) is approximately 0.
Under what condition does prepaging generally result in a win according to cost analysis?,If 'α' (the fraction of used prepaged pages) is approximately 1.
Why is prepaging executable programs difficult?,It is unclear what specific pages should be brought into memory.
Why is prepaging files more predictable?,Files are often accessed sequentially.
What Linux system call is used to prefetch file contents into memory?,`readahead()`.
What are typical characteristics of page sizes in new machine designs?,"They are invariably powers of 2, typically ranging from 4,096 ($2^{12}$) to 4,194,304 ($2^{22}$) bytes."
How does decreasing page size affect the page table size?,"It increases the number of pages, thereby increasing the overall page table size."
Why is a larger page size desirable for page table size?,"Each active process has its own copy of the page table, and larger pages mean fewer entries, reducing the physical memory consumed by the page tables."
How does page size impact memory utilization and internal fragmentation?,"Memory is better utilized with smaller pages, as processes are unlikely to end exactly on a page boundary, leading to unused allocated space (internal fragmentation) in larger pages."
Define internal fragmentation.,The phenomenon where a part of the final page allocated to a process is unused because the process does not require the entire page.
What is the average waste due to internal fragmentation?,Half of the final page allocated to a process.
What page size is required to minimize internal fragmentation?,A small page size.
What are the three components of I/O time when reading or writing a page?,"Seek time, latency, and transfer time."
Which component of I/O time is directly proportional to the page size?,Transfer time.
Why does a larger page size generally argue for minimizing total I/O time?,"Because seek and latency times often dwarf the transfer time, doubling the page size results in a minimal increase in total I/O time compared to performing multiple smaller I/Os."
How does a smaller page size affect locality and total I/O?,It can reduce total I/O and improve locality because each page can match a program's locality more accurately.
Define 'resolution' in the context of paging.,"The ability to isolate and bring into memory only the data that is actually needed, without transferring unneeded data within the same page."
How does page size influence the number of page faults?,Larger page sizes generally lead to a reduced number of page faults.
What are some significant overheads associated with each page fault?,"An interrupt, saving registers, replacing a page, queuing, and updating page tables."
What has been the historical trend in page size development?,"A trend toward larger page sizes, even for mobile systems, with modern systems supporting very large page sizes (e.g., Linux huge pages)."
Define TLB hit ratio.,The percentage of virtual address translations that are successfully resolved in the Translation Look-aside Buffer (TLB).
How can the TLB hit ratio be increased?,"By increasing the number of entries in the TLB, although this is expensive and power-hungry due to associative memory."
Define TLB reach.,"The amount of memory addressable by the Translation Look-aside Buffer (TLB), calculated as the number of entries multiplied by the page size."
What is the ideal goal for TLB reach?,The working set for a process should ideally be stored entirely within the TLB.
What happens if a process has insufficient TLB reach?,"The process spends more time resolving memory references by traversing the page table, rather than using the faster TLB."
"Besides increasing TLB entries, what other approach can increase TLB reach?",Increasing the page size or providing support for multiple page sizes.
What is the 'contiguous bit' in an ARM v8 TLB entry?,"A bit that, when set, indicates that the TLB entry maps contiguous (adjacent) blocks of memory rather than a single page."
How might an operating system manage the TLB when multiple page sizes are supported?,"The OS may manage the TLB in software, often with a TLB entry field indicating the page frame size or a contiguous block."
What is the primary purpose of inverted page tables?,To reduce the physical memory needed for virtual-to-physical address translations.
How do inverted page tables work?,"They have one entry per page of physical memory, indexed by a combination of process ID and page number (<process-id, page-number>)."
What is a main downside of using inverted page tables?,"They no longer contain complete information about the logical address space of a process, which is needed for demand paging."
How do inverted page tables compensate for the lack of complete logical address space information for demand paging?,"An external page table (one per process) is kept, which looks like a traditional per-process page table and contains virtual page location information."
When are external page tables (used with inverted page tables) referenced?,"Only on a page fault, meaning they don't need to be quickly available and can themselves be paged in/out as necessary."
What special case can occur with inverted page tables that requires careful kernel handling?,"A page fault may cause another page fault (a 'double fault') if the external page table itself needs to be paged in, leading to a delay in page-lookup processing."
"How can system performance be improved, even though demand paging is designed to be transparent to user programs?",By making the user or compiler aware of demand paging and structuring programs accordingly.
"In a 128x128 array initialized with 128-word pages, how many page faults occur for row-major order (outer loop 'j', inner loop 'i') if fewer than 128 frames are allocated?","16,384 page faults (128 × 128), because it zeros one word in each page, then another word in each page, leading to many page misses."
"In a 128x128 array initialized with 128-word pages, how many page faults occur for column-major order (outer loop 'i', inner loop 'j')?","128 page faults, because it zeros all words on one page before moving to the next, improving locality."
How can careful selection of data structures and programming structures improve paging performance?,"By increasing locality, lowering the page-fault rate, and resulting in a smaller working set."
Provide an example of a data structure with good locality.,"A stack, where access is almost always to the top."
Provide an example of a data structure with bad locality.,"A hash table, which tends to scatter memory references across different pages."
What are 'clean pages' in the context of program structure and paging?,"Code pages that are read-only and never modified; they are beneficial because they do not need to be paged out, saving I/O operations."
How can loaders optimize for paging performance?,By avoiding placing routines across page boundaries (keeping a routine in one page) and by packing frequently called routines into the same page.
What is the purpose of 'I/O interlock' and 'page locking' in demand paging?,"To allow pages to be fixed in memory (locked) and prevent them from being paged out, particularly during I/O operations to user memory."
Describe the problem scenario that page locking addresses during I/O.,"If a process initiates an I/O operation to a user memory buffer, and that page is subsequently swapped out by another process through global replacement, the pending I/O operation would then target an incorrect or different page frame."
"What is one solution to the I/O interlock problem, besides page locking?","Never executing I/O directly to user memory, instead copying data between system memory and user memory; however, this incurs potentially high overhead."
How does a 'lock bit' function in page locking?,"A 'lock bit' is associated with every frame, and when set, prevents that frame from being selected for replacement by the page replacement algorithm."
How are lock bits used when performing a disk write operation?,"The pages containing the block to be written are locked into memory before the I/O operation starts, and then unlocked once the I/O is complete."
Why are some or all OS kernel pages often locked into memory?,"Many operating systems cannot tolerate a page fault occurring within the kernel itself, as it could lead to system instability."
Define pinning in the context of page locking.,"The act of locking pages into memory, often initiated by user processes, to prevent them from being paged out."
Give an example of a user process that might utilize page pinning.,"A database process that manages a large chunk of memory and frequently moves blocks between secondary storage and memory, benefiting from persistent memory residency."
What is a potential danger or downside of using the lock bit feature?,"A bug could cause a lock bit to be turned on but never turned off, rendering the locked frame permanently unusable."
How does Solaris handle applications' requests for page locking (pinning)?,"Solaris allows applications to provide locking 'hints', but the OS can disregard these hints if the free-frame pool is too small or if a process requests an excessive number of locked pages."
What is the primary role of mass storage in computer systems?,To permanently store files and data.
What types of secondary storage do modern computers primarily use?,Hard disk drives (HDDs) and nonvolatile memory (NVM) devices.
List common variations among secondary storage devices.,"Transfer (character at a time vs. block), Access (sequentially vs. randomly), Data transfer (synchronously vs. asynchronously), Usage (dedicated vs. shared), Read-only vs. read-write, Speed (slowest major component)."
What are the key goals of an OS I/O subsystem?,"Provide the simplest interface possible to the rest of the system, and optimize I/O for maximum concurrency (devices are performance bottleneck)."
What is 'mass storage'?,The nonvolatile storage system of a computer.
What is the main mass-storage system?,Secondary storage (HDDs and NVM devices).
What types of tertiary storage exist for some systems?,"Slower, larger storage like magnetic tape, optical disks, and cloud storage."
What is the general term for all types of non-volatile storage?,"Non-volatile storage (NVS) or ""storage drives""."
hard disk drive (HDD),"Secondary storage device based on mechanical components (spinning magnetic media platters, moving read-write heads)."
nonvolatile memory (NVM),Persistent storage based on circuits and electric charges.
How is information stored and read on an HDD platter?,Information is stored by recording magnetically and read by detecting magnetic patterns.
platter,HDD component with a magnetic media layer for holding charges; flat circular shape (like a CD).
disk arm,"HDD component holding read-write heads, which moves all heads as a unit over cylinders of platters."
track,"On an HDD platter, the medium under the read-write head during platter rotation; logically a circular division of the platter surface."
sectors,"On an HDD platter, fixed-size sections that subdivide tracks."
cylinder,"On an HDD, the set of tracks under read-write heads on all platters in the device at a given arm position."
What is the smallest unit of transfer on an HDD?,A sector.
"What was the common sector size for HDDs until around 2010, and what is it migrating to?","Commonly 512 bytes until ~2010, then migrating to 4KB."
What are common rotation speeds (RPM) for HDD motors?,"5,400, 7,200, 10,000, 15,000 RPM."
transfer rate,The rate at which data flows between the drive and the computer.
positioning time,"On an HDD, the time for the read-write head to position over the desired track; also known as random-access time."
What are the two parts of positioning time (random-access time) for an HDD?,Seek time and rotational latency.
seek time,"On an HDD, the time for the disk arm to move the read-write head to the desired cylinder."
rotational latency,"On an HDD, the time for the desired sector to rotate to the disk head once the head is over the desired cylinder."
What are typical performance figures for modern disks in terms of transfer rate and latency?,"Tens to hundreds of MB/sec transfer, several milliseconds seek/rotational latency."
How do drive controllers improve HDD performance?,By using DRAM buffers.
head crash,"On an HDD, a mechanical problem where the read-write head touches the platter surface."
What is the consequence of a head crash on an HDD?,"It's normally irreparable, the entire disk is replaced, and data is lost unless backed up or RAID protected."
effective transfer rate,"The actual, measured transfer rate of data between two devices, which is typically lower than published rates."
What are NVM devices composed of?,A controller and flash NAND die semiconductor chips that store data.
solid-state disk (SSD),A disk-drive-like storage device using flash-memory-based nonvolatile memory.
USB drive,Nonvolatile memory in the form of a device that plugs into a USB port (also known as thumb drive/flash drive).
What are the advantages of NVM devices over HDDs?,"They are more reliable (no moving parts), faster (no seek/rotational latency), and consume less power."
What are the disadvantages of NVM devices compared to larger HDDs?,They are more expensive per MB and have less capacity.
What are the storage and reliability challenges with NAND semiconductors?,"Data cannot be overwritten directly (NAND cells must be erased first), and they deteriorate with every erase cycle (~100,000 program-erase cycles)."
"In what increments are NAND flash devices read/written, and in what increments are they erased?","Read/write in ""page"" increments (similar to a sector), and erasure occurs in ""block"" increments (several pages), which is much slower."
How is NVM lifespan measured?,In Drive Writes Per Day (DWPD).
flash translation layer (FTL),"For nonvolatile memory, a table maintained by the controller that maps physical pages to currently valid logical blocks."
What happens when a full SSD has a pending write and no free blocks?,"If no free blocks but individual pages hold invalid data, garbage collection occurs, where good data is copied to other locations, freeing blocks for erase/writes."
garbage collection,"The recovery of space containing no-longer-valid data, typically by copying valid data to new locations and then erasing the old block."
over-provisioning,"In non-volatile memory, space (e.g., 20% of total) set aside by the device as always available write area, not counted in device free space."
wear leveling,"In nonvolatile memory, an effort by the controller to select all NAND cells over time as write targets to avoid premature media failure due to frequently erased blocks."
How do NVM devices provide data protection?,They include error-correcting codes (ECC) calculated and stored with the data to detect and correct errors.
RAM drives,"Sections of a system's DRAM presented as secondary storage devices, created by device drivers."
What is a practical use of RAM drives despite their volatility?,"To allow users/programmers to place data in memory for temporary safekeeping using standard file operations, useful for temporary files or sharing data."
magnetic tape,"A nonvolatile magnetic media storage device (tape spooled on reels, passing over a read-write head); mostly used for backups, infrequently used info, or transferring info between systems."
How do magnetic tapes compare to main memory and drives in terms of random access time?,"Random access is very slow: ~1000x slower than HDDs, ~100,000x slower than SSDs."
"Once positioned correctly, how fast do tape drives read/write?",At speeds comparable to HDDs.
I/O bus,Physical connection of an I/O device to a computer system.
List some common bus types for connecting secondary storage.,"Advanced Technology Attachment (ATA), Serial ATA (SATA), eSATA, Serial Attached SCSI (SAS), Universal Serial Bus (USB), Fibre Channel (FC)."
Which bus type is most common for secondary storage?,SATA.
NVM express (NVMe),"A high-speed I/O bus specifically for NVM storage, which directly connects the device to the system PCI bus to increase throughput and decrease latency."
controller,A special processor managing I/O devices.
host bus adapter (HBA),A device controller installed in a host bus port to allow a device connection to the host.
host controller,"I/O-managing processors within a computer (e.g., inside an HBA)."
device controller,An I/O managing processor built into each storage device.
How does a mass storage I/O operation typically proceed?,"The computer places a command into the host controller (via memory-mapped I/O ports), which then sends the command via messages to the device controller. The device controller operates the drive hardware."
"Where does data transfer occur at the drive, and then to the host?","At the drive, data transfers between the device controller's built-in cache and the storage media. Data then transfers to the host between the cache and host DRAM via DMA at fast electronic speeds."
logical blocks,Logical addresses used to access blocks on storage devices; also the smallest unit of transfer.
How are storage devices logically addressed?,As large one-dimensional arrays of logical blocks.
What does a logical block map to physically on a device?,A physical sector or a semiconductor page.
"Why is converting LBA to old-style disk addresses (cylinder, track, sector) difficult in practice?","Because of defective sector substitution with spares, non-constant sectors per track on some drives, and internal management by disk manufacturers that hides the true physical mapping."
What assumption do algorithms dealing with HDDs make about logical and physical addresses?,That ascending logical addresses correspond to ascending physical addresses.
constant linear velocity (CLV),A device-recording method where bit density is uniform per track by varying the rotational speed of the medium.
Why do outer tracks in CLV have more sectors?,Because they are longer and bit density is uniform.
Where is CLV commonly used?,In CD-ROM and DVD-ROM drives.
constant angular velocity (CAV),"A device-recording method where the medium spins at a constant velocity, and bit density decreases from inner to outer tracks to maintain a constant data rate."
Where is CAV commonly used?,In hard disks.
"What is the OS's responsibility regarding hardware efficiency, especially for HDDs?","For HDDs, the OS is responsible for minimizing access time and maximizing data transfer bandwidth."
What is access time for HDDs/mechanical storage?,"It is the total time required to read or write data, consisting of seek time and rotational latency."
"Define ""seek time"" in the context of HDD access time.",The time for the device arm to move heads to the desired cylinder.
"Define ""rotational latency"" in the context of HDD access time.",The additional time for the platter to rotate the desired sector to the head.
"Define ""device bandwidth"" for HDDs.",Total bytes transferred divided by total time (from the first request to the last transfer completion).
How can access time and bandwidth be improved for HDDs?,By managing the order of storage I/O requests.
How does a process initiate an I/O request?,It issues a system call to the OS.
What information does an I/O request typically specify?,"Input/output direction, open file handle, memory address, and amount of data."
What happens if the drive/controller is available when an I/O request is made?,The request is serviced immediately.
What happens if the drive/controller is busy when a new I/O request is made?,New requests are placed in a queue.
What is common about device queues in a multiprogramming system?,They often have pending requests.
What is the benefit of having a queue of I/O requests for device drivers?,"It allows device drivers to improve performance by ordering requests (e.g., avoiding head seeks)."
How did past HDD interfaces differ from modern drives regarding control over physical locations?,"Past HDD interfaces allowed the host to specify track/head, leading to much effort on disk scheduling; modern drives do not expose these controls and map LBA to physical addresses internally."
What are the current goals of disk scheduling?,"Fairness, timeliness, and optimizations (e.g., bunching sequential reads/writes)."
When do drives perform best?,With sequential I/O.
Is absolute knowledge of head/physical block/cylinder locations possible on modern drives?,Generally not possible.
What approximation is used for LBA to physical address mapping on modern drives?,"Increasing LBAs generally mean increasing physical addresses, and close LBAs equate to physical proximity."
"What is the simplest disk scheduling algorithm, and what are its alternative names?","First-Come, First-Served (FCFS) or FIFO."
Is FCFS disk scheduling fair?,"Yes, it is intrinsically fair."
Does FCFS provide the fastest service?,"Generally, no."
"What is a common problem with FCFS disk scheduling, especially illustrated by a ""wild swing"" example?","It can lead to inefficient head movement (e.g., a ""wild swing"" where the head moves far for one request, then far back for another, then far forward again), not optimizing for seek time."
Define the SCAN algorithm for HDD I/O scheduling.,"The disk arm starts at one end, moves to the other, servicing requests, and when it reaches the other end, its direction is reversed, and servicing continues."
What is another name for the SCAN algorithm?,Elevator algorithm.
"In the SCAN algorithm, what happens to a request just in front of the head?",It is serviced almost immediately.
