Front,Back,Reversible
What factors determine the Mean Time Between Failures (MTBF) of a mirrored volume (where failure means data loss)?,The MTBF of individual drives and the mean time to repair (average time to replace a failed drive and restore data).,y
Define Mean Time To Repair.,Mean time to repair is the statistical mean of time to repair a device.,y
Define Mean Time To Data Loss.,Mean time to data loss is the statistical mean of time until data is lost.,y
What are some reasons why drive failures might not be independent in a RAID system?,"Power failures, natural disasters, and manufacturing defects can cause correlated failures. Additionally, as drives age, their probability of failure grows, increasing the chance of a second failure during repair.",y
What is a particular concern regarding power failures in RAID systems with writes in progress?,"If writes are in progress to the same block on both drives and power fails before both are written, it can lead to an inconsistent state.",y
How can the issue of inconsistent state during power failures in RAID systems be resolved?,"One solution is to write one copy first, then the next. Another is to add a solid-state nonvolatile cache to the RAID array, assuming the cache has its own error protection/correction (ECC, mirroring).",y
How does parallel access to multiple drives improve performance in RAID?,"It improves the overall performance, for example, by doubling the read request rate in mirroring (reads can be sent to either drive).",y
How does mirroring affect the transfer rate per read versus the reads per unit time?,"The transfer rate per read remains the same as a single drive, but the number of reads per unit time is doubled because requests can be sent to either drive.",y
How do multiple drives improve transfer rate beyond mirroring?,They improve transfer rate by striping data.,y
Define data striping.,Data striping is the splitting of data across multiple devices.,y
What is the simplest form of data striping?,Bit-level striping.,y
Define bit-level striping.,"Bit-level striping is the splitting of data at the bit level, where each bit is stored on a separate device.",y
How does an 8-drive array with bit-level striping function as a single logical drive?,It is treated as a single drive with 8 times the normal sector size and 8 times the access rate.,y
Define block-level striping.,"Block-level striping is the splitting of data at the block level, where each block is stored on a separate device.",y
What is the most commonly available form of data striping?,Block-level striping.,y
What are the two main goals of parallelism in a storage system via striping?,"1. Increase the throughput of multiple small accesses (e.g., page accesses) by load balancing. 2. Reduce the response time of large accesses.",y
What are RAID levels?,RAID levels are various types of RAID protection.,y
Describe RAID level 0.,RAID level 0 consists of drive arrays with block-level striping but no redundancy. It offers high performance but no protection against data loss.,y
Describe RAID level 1.,"RAID level 1 is drive mirroring. It duplicates data across two drives, providing high reliability at a high cost (double the storage space).",y
What is the core idea behind RAID level 4 (and RAID 5 and 6) regarding error correction?,"It uses memory-style error-correcting-code (ECC) organization, where blocks are striped across drives, and the ECC calculation result (parity) is stored on an extra drive.",y
How does RAID 4 handle a single drive failure or damaged sector?,"If one drive fails, ECC recalculation detects the error and prevents data from being passed. If a single sector is damaged, its data can be disregarded and recalculated using parity by computing the parity of corresponding bits from other drives.",y
How do block reads and large reads/writes perform in RAID 4?,"Block reads access only one drive, allowing others to process requests. Large reads and writes achieve high transfer rates as all disks read/write in parallel.",y
What is a disadvantage of small independent writes in RAID 4?,"Small independent writes are not parallel, requiring a read-modify-write cycle.",y
Define read-modify-write cycle.,"A read-modify-write cycle is a write of data smaller than a block that requires the entire block to be read, modified, and then written back.",y
How many drive accesses are typically required for a single small write in RAID 4 due to the read-modify-write cycle?,Four drive accesses: two to read (old data and old parity) and two to write (new data and new parity).,y
What is an advantage of RAID 4 used by WAFL (Write Anywhere File Layout) file system?,"It allows seamless drive addition, as new drives can be added with zeros, which does not change the parity calculation for existing data.",y
"What are two key advantages of RAID 4 over RAID 1, considering they offer equal data protection?",1. Reduced storage overhead: one parity drive serves several regular drives (vs. one mirror for every drive). 2. Faster transfer rate: reads/writes of a series of blocks spread over multiple drives (N-way striping) are N times faster than RAID 1.,y
What is a performance problem associated with RAID 4 and other parity-based RAIDs?,"The expense of computing and writing XOR parity, which can slow down write operations.",y
How are the performance issues of parity-based RAIDs mitigated today?,"Modern CPUs are fast enough that the performance hit is minimal. Many RAID storage arrays/HBAs include dedicated parity hardware and NVRAM caches that buffer writes and gather data into full stripes to write concurrently, avoiding most read-modify-write cycles.",y
Describe RAID level 5.,"RAID level 5 is block-interleaved distributed parity. It spreads both data and parity among all N+1 drives, rather than dedicating a single drive for parity.",y
How is parity distributed in RAID 5?,"For each set of N blocks of data, one drive stores the parity block for that set, while the others store data blocks. The parity block cannot be stored on the same drive as any of the data blocks it protects within that stripe.",y
What is the primary benefit of distributing parity across all drives in RAID 5 compared to RAID 4?,"It avoids the overuse and potential bottleneck of a single parity drive, which is a problem in RAID 4, improving write performance.",y
Which RAID level is the most common parity RAID?,RAID level 5.,y
Describe RAID level 6.,"RAID level 6 is a P + Q redundancy scheme. Like RAID 5, it distributes data and parity, but stores an extra set of redundant information for multiple drive failures, using Galois field math to calculate the second (Q) parity.",y
What mathematical concept is used in RAID 6 to calculate the second parity block (Q)?,Galois field math.,y
What is the primary advantage of RAID 6 in terms of failure tolerance?,A RAID 6 system can tolerate the failure of two drives without data loss.,y
What is Multidimensional RAID level 6?,"It is an amplification of RAID level 6, typically used in arrays with hundreds of drives. It logically arranges drives into rows and columns and implements RAID 6 horizontally (across rows) and vertically (down columns) to recover from multiple failures.",y
Describe RAID levels 0+1 and 1+0.,"They are combined RAID levels designed to offer both performance (from RAID 0) and reliability (from RAID 1). RAID 0+1 stripes a set of drives then mirrors the entire stripe. RAID 1+0 mirrors drives in pairs, then stripes across those mirrored pairs.",y
Which combined RAID level offers theoretical advantages for single drive failures?,"RAID 1+0. If a single drive fails in RAID 0+1, the entire stripe becomes inaccessible, leaving only the mirrored copy. In RAID 1+0, only the single failed drive is unavailable, but its mirror is still functional, and the rest of the drives remain available.",y
List the four main ways RAID can be implemented.,1. Volume-management software (in kernel/system software). 2. HBA (Host Bus Adapter) hardware. 3. Storage array hardware. 4. SAN (Storage Area Network) interconnect layer via drive virtualization devices.,y
Define snapshot in the context of file systems.,A snapshot is a read-only view of a file system at a particular point in time.,y
Define replication in file systems.,Replication is the automatic duplication and synchronization of data over a network to another system.,y
What are the two types of replication and how do they differ?,"1. Synchronous replication: A block is considered written only after it's been written locally AND remotely. 2. Asynchronous replication: Writes are grouped and written periodically, allowing for faster local writes but potential data loss if the primary site fails before writes are replicated.",y
How does replication compare to RAID as a protection method?,"Replication protects against data loss and can increase read performance by allowing reads from replicas. However, it typically uses more storage than most RAID configurations.",y
Define hot spare.,"A hot spare is an unused storage device ready to be used to recover data (e.g., in a RAID set) automatically without human intervention.",y
What is the importance of rebuild performance when selecting a RAID level?,"Rebuild performance, which is the time to rebuild data if a drive fails, is critical for systems requiring a continuous data supply (e.g., high-performance databases). It also influences the overall Mean Time Between Failures (MTBF) of the RAID system.",y
"Which RAID level has the easiest rebuild performance, and why?",RAID 1 (mirroring) has the easiest rebuild performance because data can simply be copied from the healthy mirrored drive.,y
"Which RAID levels require accessing all other drives for rebuild, and how long can this process take?","RAID levels 4, 5, and 6 require accessing all other drives to rebuild. Rebuild times for large RAID 5 sets can take hours.",y
When is RAID level 0 typically used?,"RAID level 0 is used in high-performance applications where data loss is not critical, such as scientific computing.",y
When is RAID level 1 commonly preferred?,"RAID level 1 is popular for applications requiring high reliability with fast recovery, such as small databases, despite its high space overhead.",y
When are RAID levels 0+1 and 1+0 used?,"They are used where both performance and reliability are important, such as with small databases, but at a higher cost due to the doubled drive requirement.",y
When is RAID level 5 often preferred?,RAID level 5 is often preferred for moderate data volumes.,y
Which RAID levels are most common in storage arrays today?,"RAID 6 and Multidimensional RAID 6 are most common in storage arrays due to their good performance, robust protection, and efficient space utilization compared to mirroring.",y
What is a characteristic innovation of the InServ storage array (HP 3Par)?,"It does not require drives to be configured at a specific RAID level. Instead, each drive is broken into 256-MB 'chunklets,' and RAID is applied at the chunklet level.",y
How does the chunklet approach in InServ arrays enhance flexibility?,"A single drive can participate in multiple and various RAID levels simultaneously, as its chunklets can be used for different volumes and RAID configurations.",y
What kind of snapshots does InServ provide?,"InServ provides both read-write and read-only snapshots, allowing multiple hosts to mount copies of a file system without own copies (changes handled by copy-on-write).",y
Define utility storage.,"Utility storage is an InServ feature where storage space can be increased as needed. An administrator configures a host with a large logical storage, but initially, only a small amount of physical storage is allocated, with more added on demand.",y
What are the benefits of utility storage?,"It reduces the drives needed by hosts initially, delays drive purchases, and allows drives to be added/removed without the file system noticing.",y
"Beyond traditional disk arrays, to what other storage devices have RAID concepts been generalized?",RAID concepts have been generalized to arrays of tapes and broadcast data over wireless networks (where blocks are split and broadcast with parity units).,y
What kind of problems does RAID NOT protect against?,"RAID does not protect against logical errors such as wrong file pointers, wrong pointers within file structure, incomplete writes ('torn writes'), or accidental overwrites of file system structures.",y
What is a significant risk with hardware RAID controller failures or software RAID bugs?,"Such failures or bugs can lead to total data loss, as RAID primarily protects against physical media errors, not other hardware or software errors.",y
What is Solaris ZFS?,"Solaris ZFS is an advanced file system, first included as part of Solaris, known for its innovative approach using checksums for data integrity.",y
How does ZFS use checksums for data integrity?,"ZFS maintains internal checksums of all blocks (data and metadata). These checksums are not kept with the checksummed block itself, but are stored with the pointer to the block (e.g., in an inode).",y
Define inode.,"In many file systems, an inode is a per-file data structure holding most of the metadata of the file.",y
How does ZFS detect and correct data corruption using checksums and mirroring?,"If ZFS reads a data block and its checksum is incorrect, the file system knows there's a problem. If the data is mirrored and one copy has an incorrect checksum while the other is correct, ZFS automatically updates the bad block with the good one.",y
What are the benefits of ZFS's comprehensive checksumming throughout its structures?,"It provides higher consistency, more robust error detection, and automatic error correction capabilities compared to traditional RAID implementations or standard file systems.",y
What other Linux file system has a similar checksum feature to ZFS?,The Linux BTRFS file system.,y
What is a common issue with most traditional RAID implementations regarding flexibility?,"They often lack flexibility in managing storage space, for example, making it difficult to change volume sizes or adapt to changing file system requirements over time.",y
How does ZFS address the lack of flexibility in traditional RAID and volume management?,"ZFS combines file-system management and volume management. Drives or partitions are gathered into 'pools' of storage, and the entire pool's free space is available to all ZFS file systems within that pool, eliminating artificial limits and the need to relocate/resize.",y
Define pool in ZFS.,"In ZFS, a pool refers to drives, partitions, or RAID sets that can contain one or more file systems.",y
What additional storage management features does ZFS provide for file systems within a pool?,"ZFS provides quotas to limit the size of a file system and reservations to assure its growth, both of which can be changed by the file-system owner at any time.",y
What is object storage?,"Object storage is an approach where data is placed into a storage pool as self-contained 'objects,' designed for programs and accessed via an object ID, rather than navigated through a traditional file system hierarchy.",y
How does object storage differ from traditional file systems?,"In object storage, there is no way for a user or program to navigate the pool directly to find objects; objects are typically accessed via a unique object ID.",y
What are two examples of object storage management software?,Hadoop file system (HDFS) and Ceph.,y
What kind of hardware is typically used for object storage systems?,"Object storage systems typically run on commodity hardware, not traditional RAID arrays.",y
What is a key advantage of object storage in terms of capacity?,"Horizontal scalability, meaning capacity can be scaled by adding more computers with internal or external disks to the storage pool, allowing for petabyte-scale pools.",y
Define horizontal scalability.,Horizontal scalability is the ability to scale capacity by adding more items (computers) rather than expanding one existing item.,y
What is a key feature of each object in object storage systems?,"Each object is self-describing, meaning it includes a description of its content.",y
What is another term for object storage based on its retrieval method?,Content-addressable storage.,y
Define content-addressable storage.,Content-addressable storage is another term for object storage; objects are retrieved based on their contents.,y
"What type of data is typically stored in object storage, and why?","Unstructured data, because there is no set format for the contents of objects.",y
Define unstructured data.,Unstructured data is data not in a fixed format but rather free-form.,y
Give examples of where huge amounts of data are stored in object stores.,"Google search contents, Dropbox files, Spotify songs, Facebook photos, and Amazon AWS S3 (for customer applications).",y
What are the major secondary storage I/O units?,Hard disk drives (HDDs) and nonvolatile memory (NVM) devices.,y
How is modern secondary storage structured?,As large one-dimensional arrays of logical blocks.,y
How can drives be attached to a computer?,"1. Through local I/O ports on the host.
2. Directly connected to motherboards.
3. Through a communications network or storage network connection.",y
What systems generate requests for secondary storage I/O?,The file system and the virtual memory system.,y
How does each secondary storage I/O request specify the device address?,As a logical block number.,y
What do disk-scheduling algorithms aim to improve for HDDs?,"Effective bandwidth, average response time, and variance in response time.",y
How do algorithms like SCAN and C-SCAN improve HDD performance?,Via disk-queue ordering strategies.,y
How does HDD performance relate to scheduling algorithms?,It varies greatly with scheduling algorithms.,y
What are the characteristics of Solid-state disks (SSDs) in relation to moving parts and scheduling algorithms?,"They have no moving parts, and their performance varies little among different scheduling algorithms.",y
Which scheduling strategy do SSDs often use?,"A simple FCFS (First-Come, First-Served) strategy.",y
What is a common characteristic and outcome of data storage and transmission?,They are complex and frequently result in errors.,y
Define Error detection.,"The process that attempts to spot problems, alert the system for corrective action, and avoid error propagation.",y
Define Error correction.,"The process that detects and repairs problems, depending on available correction data and the amount of corruption.",y
How are storage devices typically organized?,They are partitioned into one or more chunks of space.,y
What can each partition of a storage device hold?,"A volume, or it can be part of a multidevice volume.",y
Where are file systems created?,In volumes.,y
What manages a storage device's blocks?,The Operating System (OS).,y
How are new storage devices typically supplied?,Typically pre-formatted.,y
What are boot blocks and when are they allocated?,"Blocks allocated to store the system's bootstrap program, if the device contains the Operating System (OS).",y
What action must a system take if a block or page becomes corrupted?,The system must lock it out or logically replace it with a spare.,y
"What is key to good performance in some systems, related to memory management?",Efficient swap space.,y
How do some systems implement swap space?,By dedicating a raw partition to it.,y
How do other systems implement swap space?,By using a file within the file system.,y
What other options exist for swap space implementation?,"Some systems provide both dedicating a raw partition and using a file within the file system, allowing for user/admin decision.",y
How are secondary storage devices in large systems frequently made redundant?,Via RAID algorithms.,y
What do RAID algorithms allow for in storage systems?,"They allow more than one drive for operation, and enable continued operation or automatic recovery from drive failure.",y
How are RAID algorithms organized and what does each level provide?,"They are organized into different levels, with each level providing a specific combination of reliability and high transfer rates.",y
What is Object storage used for?,"It is used for big data problems, such as Internet indexing and cloud photo storage.",y
How are objects defined and addressed in object storage?,"They are self-defining collections of data, addressed by an object ID (not a file name).",y
What method is typically used for data protection in object storage?,Replication.,y
Where do computations based on data occur in object storage systems?,On systems where a copy of the data exists.,y
"What is a key scalability characteristic of object storage, and why is it important?","It is horizontally scalable, allowing for vast capacity and easy expansion.",y
What are the two main jobs of a computer?,I/O and computing.,y
"Which of the computer's main jobs is often primary, with the other being incidental?","I/O is often primary, with computing being incidental (e.g., browsing, editing).",y
What is the operating system's role concerning I/O?,To manage and control I/O operations and devices.,y
What aspect of I/O hardware provides constraints on OS internal facilities?,I/O hardware basics.,y
What gap is bridged by OS I/O services and application I/O interfaces?,The gap between hardware and application interfaces.,y
What is the UNIX System V STREAMS mechanism?,A mechanism involving dynamic driver code pipelines.,y
What is a major operating system design concern related to devices?,Device control.,y
How does the wide variation in I/O device function and speed impact control methods?,It requires varied control methods.,y
What forms the kernel's I/O subsystem?,The varied control methods for I/O devices.,y
What is the purpose of the kernel's I/O subsystem?,To separate the kernel from device management complexities.,y
What is a key trend in I/O device technology regarding interfaces?,Increasing standardization of software/hardware interfaces.,y
What is the benefit of increasing standardization of software/hardware interfaces in I/O device technology?,It helps incorporate new device generations.,y
What is another key trend in I/O device technology besides standardization?,Increasingly broad variety of I/O devices.,y
What challenge does the increasingly broad variety of I/O devices pose?,"It is a challenge to incorporate new, unlike devices.",y
What basic I/O hardware elements accommodate diverse devices?,"Ports, buses, and device controllers.",y
How is the kernel structured to encapsulate device details and meet I/O challenges?,With device-driver modules.,y
Define 'device driver'.,An OS component providing uniform access and managing I/O to various devices.,y
What kind of interface do device drivers provide to the I/O subsystem?,A uniform device-access interface.,y
What are device drivers' uniform device-access interfaces similar to for applications?,System calls.,y
What are some common types of devices computers operate?,"Storage (disks, tapes), transmission (network, Bluetooth), and human-interface (screen, keyboard, mouse, audio).",y
How do devices communicate with a computer?,Via signals transmitted over cable or air.,y
What is a **port** in I/O hardware?,"A connection point for devices to attach to computers (e.g., serial port).",y
What is a **bus** in computer systems?,"A communication system connecting computer components (CPU, I/O devices) for data and command transfer.",y
What defines a bus beyond just being a set of wires?,"A rigidly defined protocol for messages, including electrical voltages and timings.",y
What is a **daisy chain** in device communication?,"A connection method where devices are connected in a string (A to B, B to C), usually operating as a bus.",y
What characteristics can buses vary in?,"Signaling, speed, throughput, and connection.",y
What is the primary function of a **PCIe bus** in a typical PC structure?,It connects the processor-memory subsystem to fast devices.,y
What is the primary function of an **expansion bus** in a typical PC structure?,"It connects slow devices such as keyboards, serial ports, and USB ports.",y
What is **Serial-attached SCSI (SAS)**?,A common type of I/O bus used to connect disks to a SAS controller.,y
How does PCIe transfer data?,Over 'lanes'.,y
What constitutes a 'lane' in PCIe?,"Two signaling pairs (one for receive, one for transmit), forming a full-duplex byte stream.",y
"What format do PCIe data packets use, and in what direction can data be transferred?","Eight-bit byte format, simultaneously in both directions.",y
What are the possible physical link configurations for PCIe in terms of lanes?,"1, 2, 4, 8, 12, 16, or 32 lanes (e.g., x8).",y
"What do 'generations' refer to in PCIe, and what is an example of its impact?","Different versions of the PCIe standard, impacting throughput (e.g., PCIe gen3 x8 provides 8 GB/s throughput).",y
What is a **controller** in the context of I/O hardware?,"Electronics operating a port, bus, or device. (Alternatively: A special processor managing I/O devices.)",y
Describe a serial-port controller.,It is simple and typically implemented as a single chip.,y
"What is **Fibre Channel (FC)**, and how is its controller often implemented?",FC is a storage I/O bus used in data centers to connect computers to storage arrays. Its controller is complex and often a separate circuit board called a Host Bus Adapter (HBA).,y
What components are typically found in a **Host Bus Adapter (HBA)**?,"A processor, microcode, and private memory for managing the Fibre Channel (FC) protocol.",y
Can devices have built-in controllers? Provide an example.,"Yes, some devices like a disk drive board have built-in controllers.",y
What functions does a disk controller implement and manage?,"It implements disk-side protocols (like SAS, SATA), contains microcode and a processor for tasks such as bad-sector mapping, prefetching, buffering, and caching.",y
How does a processor communicate with a controller?,Via registers (data and control registers).,y
What is one method for a CPU to communicate with I/O devices using special instructions?,Special I/O instructions that transfer a byte or word to an I/O port address.,y
What is **memory-mapped I/O**?,A device I/O method where device-control registers are mapped into the processor's address space.,y
How does the CPU interact with device-control registers in memory-mapped I/O?,It uses standard data-transfer instructions (like load/store) to read from or write to the registers at their mapped memory locations.,y
How did past PCs typically handle I/O communication methods?,They often mixed special I/O instructions and memory-mapped I/O.,y
Why is writing to graphics memory via memory-mapped I/O often preferred over I/O instructions?,Writing millions of bytes to graphics memory using standard data-transfer instructions (memory-mapped) is much faster than executing millions of special I/O instructions.,y
"What is the trend in I/O communication methods for modern systems, and why?",Systems have largely moved to memory-mapped I/O for increased efficiency.,y
How is most I/O conducted in modern systems?,Most I/O is conducted via device controllers using memory-mapped I/O.,y
What are the typically four main registers found in an I/O device controller?,"Status, control, data-in, and data-out registers.",y
What is a **data-in register**?,A device I/O register read by the host to receive input.,y
What is a **data-out register**?,A device I/O register written by the host to send output.,y
"What is a **status register**, and what kind of information do its bits indicate?","A device I/O register indicating status. Its bits indicate states such as command complete, byte available, or an error.",y
"What is a **control register**, and what are some examples of device modes that can be changed via it?","A device I/O register for the host to place commands or change device mode. Examples include full/half-duplex communication, parity settings, word length, and communication speed.",y
What is the typical size of data registers in I/O controllers?,1 to 4 bytes.,y
"What are FIFO (First-In, First-Out) chips used for in some controllers?","They hold several bytes, expanding capacity and buffering data bursts.",y
What term describes the interaction between a host and a controller?,Handshaking.,y
Describe the host's actions in the first three steps of a typical polling handshaking sequence for sending data to a device.,1. The host repeatedly reads the `busy` bit until it is clear. 2. The host sets the `write` bit in the command register and writes the byte to the `data-out` register. 3. The host sets the `command-ready` bit.,y
Describe the controller's actions in a typical polling handshaking sequence after the host has prepared data.,"1. The controller notices `command-ready` is set and sets the `busy` bit. 2. The controller reads the command, reads the `data-out` byte, and performs the I/O operation. 3. The controller clears `command-ready`, clears any `error` bit, and clears the `busy` bit.",y
What action does the host perform in the first step of a polling handshaking sequence?,"The host is **busy-waiting** or **polling**, repeatedly reading the status register until the device is ready.",y
What is **busy waiting**?,"A thread or process continuously uses the CPU while waiting, typically by repeatedly reading a status register in an I/O loop.",y
What is **polling**?,"An I/O loop where an I/O thread continuously reads a status register, waiting for I/O completion.",y
When is polling considered efficient for I/O operations?,"If the controller and device are fast (e.g., completing in as few as 3 CPU cycles).",y
When is polling considered inefficient for I/O operations?,"If the wait for the device to be ready is long and there are other CPU tasks pending, or if the device is rarely ready.",y
What is a risk associated with the host waiting too long during polling?,Risk of data loss due to buffer overflow if the host doesn't process input fast enough.,y
What is an alternative to polling for a hardware controller to notify the CPU when it's ready?,An **interrupt**.,y
What is an **interrupt**?,A hardware mechanism for a device to notify the CPU that it needs attention.,y
How does the CPU detect an interrupt request?,It senses the **interrupt-request line** after each instruction it executes.,y
What happens immediately after a controller asserts an interrupt signal on the interrupt-request line?,The CPU saves its current state and jumps to an **interrupt-handler routine** at a fixed address.,y
What are the main actions performed by an interrupt handler routine?,"It determines the cause of the interrupt, processes it, restores the CPU's saved state, and then executes a `return from interrupt` instruction.",y
"Describe the sequence of actions and roles involved in an interrupt, using the terms 'raises', 'catches', 'dispatches', and 'clears'.","A device controller *raises* an interrupt, the CPU *catches* and *dispatches* it to the appropriate handler, and the handler *clears* the interrupt.",y
What is the typical frequency of interrupts in modern systems?,Hundreds of interrupts per second.,y
What are some sophisticated features needed for modern interrupt handling?,"Deferring interrupt handling during critical processing, efficient dispatch to the proper handler, multilevel interrupts to distinguish high/low priority, and instructions (traps) to get OS attention directly for events like page faults or errors.",y
What hardware components provide sophisticated interrupt handling features?,The CPU and **interrupt-controller hardware**.,y
What is a **nonmaskable interrupt**?,"An interrupt that cannot be delayed or blocked, typically used for unrecoverable errors (e.g., memory errors).",y
What does it mean for an interrupt to be **maskable**?,"It describes an interrupt that can be temporarily delayed or blocked by the CPU for critical sequences, commonly used by device controllers.",y
What is an **interrupt vector**?,"An OS data structure indexed by an interrupt address, pointing to interrupt handlers.",y
What is the purpose of an interrupt vector?,To reduce the need for a single handler to search all possible interrupt sources.,y
What is **interrupt chaining**?,"A mechanism where an interrupt vector element points to the head of a list of handlers, and these handlers are called in sequence until one services the request.",y
What is the benefit of using interrupt chaining?,"It avoids the need for a huge interrupt vector table while still improving dispatch efficiency, especially when there are more devices than vector elements.",y
What are **interrupt priority levels** used for?,"Prioritizing interrupts for handling order, allowing low-priority interrupts to be deferred and high-priority interrupts to preempt ongoing processing.",y
How does the OS interact with interrupts during boot time?,It probes buses and installs the appropriate interrupt handlers into the interrupt vector.,y
What kind of events cause controllers to raise interrupts during I/O operations?,"Output completion, input availability, or device failures.",y
What is an **exception** in the context of interrupts?,"A software-generated interrupt caused by an error (e.g., division by zero, protected memory access) or a user program's request for an OS service.",y
What are the main responsibilities of a **First-Level Interrupt Handler (FLIH)**?,"Performing context switching, saving CPU state, and queuing the interrupt for further processing.",y
What is the main responsibility of a **Second-Level Interrupt Handler (SLIH)**?,"It performs the actual, more complex handling of the interrupt.",y
"What is a **software interrupt**, also known as a **trap**?","A software-generated interrupt used, for example, by system calls.",y
What actions does a trap (software interrupt) typically perform?,"It saves the user process's state, switches the CPU to kernel mode, and dispatches control to the appropriate kernel routine.",y
What is the typical priority of traps compared to device interrupts?,"Traps usually have a lower priority compared to device interrupts, as they are generally less urgent.",y
How are interrupt handlers implemented in a threaded kernel architecture like Solaris?,"They are implemented as kernel threads with high scheduling priorities, allowing preemption and concurrent execution on multiprocessor systems.",y
What is **programmed I/O (PIO)**?,"A data transfer method where the CPU transfers data one byte or word at a time, often by watching status bits and feeding data to the device.",y
"Why is Programmed I/O (PIO) considered wasteful for large data transfers, such as disk operations?","Because the CPU wastes time watching status bits and feeding data byte-by-byte, which is inefficient for large volumes of data.",y
What is **direct memory access (DMA)**?,An operation allowing device controllers to transfer large amounts of data directly to or from main memory without involving the main CPU in the transfer.,y
How does the host initiate a DMA transfer?,"The host writes a DMA command block to memory, specifying details like the source address, destination address, and byte count.",y
What is **scatter-gather** in DMA?,An I/O method where a DMA command block specifies a list of non-contiguous sources and/or destinations for a single transfer operation.,y
"After initiating a DMA transfer, what does the CPU do?",The CPU writes the address of the DMA command block to the DMA controller and then continues with other work.,y
How does the DMA controller perform data transfers?,"It operates the memory bus directly, performing transfers to or from main memory without involving the main CPU.",y
Is a DMA controller a common component in modern computers?,"Yes, it is a standard component.",y
What is a potential risk when a DMA transfer targets user space memory?,"There is a risk that the user space memory region could be modified by the user program during the DMA transfer, leading to data corruption.",y
"What is **double buffering** in the context of I/O, and why can it be inefficient?","Copying data twice (e.g., from a device into kernel memory, then from kernel memory to user process memory). It is inefficient due to the overhead of the second copy operation.",y
What is the trend for OS handling of direct I/O between devices and user address space?,"The OS has moved towards using memory-mapping to allow direct I/O transfers between devices and user address space, avoiding double buffering.",y
What wires are typically used for handshaking between a DMA controller and a device controller?,DMA-request and DMA-acknowledge wires.,y
What happens during a DMA handshaking sequence when a device has data ready?,"The device places a signal on the DMA-request wire. The DMA controller seizes the memory bus, places the memory address, and signals DMA-acknowledge. The device then transfers the word of data and removes the DMA-request signal.",y
How does the DMA controller signal the CPU that a transfer is complete?,The DMA controller interrupts the CPU.,y
What is **cycle stealing**?,"The temporary prevention of CPU access to main memory when a device (e.g., DMA controller) seizes the bus for data transfer.",y
"Does cycle stealing slow down the CPU, and what is the overall impact of DMA on system performance?","Yes, cycle stealing does slow down the CPU momentarily, but DMA generally improves total system performance by freeing the CPU for other tasks.",y
What two types of addresses can DMA use for transfers?,Physical addresses or **direct virtual memory access (DVMA)**.,y
"What is **direct virtual memory access (DVMA)**, and what is a unique capability it provides?",DMA that uses virtual addresses (which are translated to physical addresses) as transfer sources/destinations. It can also enable transfers directly between memory-mapped devices without involving the CPU or main memory as an intermediary.,y
What are the key concepts of I/O hardware?,"Bus, Controller, I/O port and its registers, Handshaking (between host and device controller), Handshaking execution (polling or interrupts), and Offloading large transfers to a DMA controller.",y
What is a significant challenge for OS implementers regarding I/O hardware?,"The wide variety of devices, each with unique capabilities, control-bit definitions, and communication protocols.",y
What two critical questions arise for OS implementers concerning I/O device integration?,"How to attach new devices without requiring an OS rewrite, and how to provide a uniform I/O interface to applications.",y
What is **PHY**?,"A physical hardware component connecting to a network, corresponding to OSI layer 1.",y
What is the primary goal of the Application I/O interface regarding I/O devices?,To treat I/O devices uniformly.,y
What approaches are used to achieve uniform I/O device treatment and add new devices without OS disruption?,"Abstraction, encapsulation, and software layering.",y
How does the OS achieve abstraction for I/O devices?,By identifying general kinds of devices and abstracting away their differences.,y
What is an 'interface' in the context of I/O device access?,Standardized functions used to access each kind of I/O device.,y
What are 'device drivers' in the context of I/O?,"Kernel modules that encapsulate device differences, are custom-tailored to specific devices, and export standard interfaces.",y
What is the purpose of the device-driver layer in an OS?,To hide differences among device controllers from the kernel I/O subsystem.,y
How do I/O system calls relate to device behavior and hardware differences?,"They encapsulate device behavior in generic classes, hiding hardware differences from applications.",y
What are the benefits of the I/O interface structuring techniques?,Simplifies OS development and allows hardware manufacturers to design compatible devices or write drivers for popular OS.,y
What are the main dimensions along which I/O devices vary?,"Character-stream or block, sequential or random access, synchronous or asynchronous, sharable or dedicated, speed of operation, and read-write, read only, or write once.",y
Distinguish between 'character-stream' and 'block' devices.,"Character-stream devices transfer bytes one by one, while block devices transfer a block of bytes as a unit.",y
Distinguish between 'sequential' and 'random-access' I/O.,"Sequential I/O accesses data in a fixed order determined by the device, while random-access I/O allows a user to seek to any storage location.",y
Distinguish between 'synchronous' and 'asynchronous' I/O response times.,"Synchronous I/O has predictable response times and is coordinated, while asynchronous I/O has irregular/unpredictable response times and is not coordinated.",y
Distinguish between 'sharable' and 'dedicated' I/O devices.,"Sharable devices can be used concurrently by several processes/threads, while dedicated devices cannot be used concurrently.",y
What are the three categories for read/write capabilities of I/O devices?,"Read-write (both input/output), Read only (only one data transfer direction), and Write once (written once, then read-only).",y
What are the major application access conventions for I/O devices?,"Block I/O, Character-stream I/O, Memory-mapped file access, and Network sockets.",y
What is an 'escape' or 'back door' in the context of application access conventions for devices?,A method to transparently pass arbitrary commands to a device driver when the interface lacks a standard method.,y
What is the `ioctl()` system call in UNIX?,A system call that enables an application to access any driver functionality without needing a new system call for each specific function.,y
What arguments does the `ioctl()` system call typically take?,"A device identifier (major/minor numbers), a command integer, and a pointer to a data structure.",y
What is the 'major number' in a UNIX device identifier?,It identifies the device type and routes I/O requests to the appropriate driver.,y
