Front,Back
What does the operating system (OS) maintain for swapped-out processes?,Metadata for their restoration.
What is an advantage of standard swapping for physical memory oversubscription?,"It allows physical memory to be oversubscribed, accommodating more processes than physical memory can hold."
Which types of processes are ideal candidates for swapping out?,Idle or mostly idle processes.
What happens to memory allocated to inactive processes when they are swapped out?,It can be dedicated to active processes.
"What is required if an inactive, swapped-out process becomes active?",It must be swapped back into memory.
"Is ""standard swapping"" commonly used in contemporary operating systems?","Generally no, except for Solaris under dire circumstances."
Why is standard swapping generally no longer used in modern OS?,The time required to move entire processes is prohibitive.
"How do most contemporary systems (e.g., Linux, Windows) perform swapping?","They use a variation where individual pages of a process are swapped, not the entire process."
What benefit does swapping with paging share with standard swapping?,It still allows physical memory oversubscription.
What is an advantage of swapping with paging over standard swapping in terms of cost?,"It does not incur the high cost of swapping entire processes, as only a small number of pages are involved."
"How is the term ""swapping"" generally interpreted in contemporary discussions?","It generally refers to ""standard swapping"" (moving entire processes)."
"What does the term ""paging"" refer to?","It refers to ""swapping with paging"" (moving individual pages)."
"Define ""page out"".",The process of moving a page from memory to a backing store.
"Define ""page in"".","The reverse process of ""page out,"" where a page is moved from a backing store into memory."
How does swapping with paging relate to virtual memory?,It works well with virtual memory.
Do mobile systems typically support swapping?,No.
List the reasons why mobile systems generally do not support swapping.,"1. They use flash memory for nonvolatile storage, which has space constraints. 2. Flash memory has a limited number of writes it tolerates before becoming unreliable. 3. There is poor throughput between main memory and flash memory."
"How does Apple's iOS manage memory when free memory is low, instead of swapping?",It asks applications to voluntarily relinquish allocated memory.
"In iOS, what type of data is removed from main memory (and reloaded from flash if needed) when memory is low?","Read-only data (e.g., code)."
"In iOS, what type of data is never removed from main memory when memory is low?","Modified data (e.g., stack)."
What is the consequence for iOS applications that fail to free memory when requested?,They may be terminated by the OS.
How does Android manage memory when free memory is low?,"It uses a strategy similar to iOS, and may terminate processes if there is insufficient free memory."
What does Android do before terminating a process due to insufficient memory?,"It writes the ""application state"" to flash memory for a quick restart."
"Define the term ""application state"".",A software construct for data storage.
What is a key responsibility for developers on mobile systems regarding memory management?,They must carefully allocate and release memory to avoid excessive use or leaks.
"What does excessive ""swapping"" (in any form) often indicate about system performance?",It is often a sign of more active processes than available physical memory.
What are two general approaches to improve system performance when excessive swapping occurs?,1. Terminate some processes. 2. Get more physical memory.
What were the early 16-bit Intel chips that dominated the PC landscape?,Intel 8086 (late 1970s) and 8088 (original IBM PC).
What is IA-32?,"Intel's 32-bit chip architecture, which included Pentium processors."
What architecture are current 64-bit Intel chips based on?,x86-64 architecture.
Where does Intel dominate the market versus where it does not?,"Intel dominates PC OS (Windows, Mac, Linux) but not mobile systems, where ARM architecture is successful."
What are the two major memory-management concepts in IA-32?,Segmentation and Paging.
Describe the address translation process in IA-32 architecture.,CPU generates logical addresses → segmentation unit produces linear address → paging unit generates physical address in main memory.
What is the Memory-Management Unit (MMU) in IA-32?,The segmentation and paging units combined.
What is the maximum segment size in IA-32 segmentation?,Up to 4 GB.
What is the maximum number of segments allowed per process in IA-32 segmentation?,16 K segments.
How is the logical address space divided in IA-32 segmentation?,"Into two partitions: one for up to 8 K segments private to the process, and one for up to 8 K segments shared among all processes."
What is the Local Descriptor Table (LDT) in IA-32 segmentation?,A table that holds information for segments private to a process (first partition).
What is the Global Descriptor Table (GDT) in IA-32 segmentation?,A table that holds information for segments shared among all processes (second partition).
What is a segment descriptor in IA-32 segmentation?,"An 8-byte entry in an LDT or GDT that contains detailed information about a segment (e.g., base location, limit)."
What is the format of a logical address in IA-32 segmentation?,"(selector, offset)."
What are the components of the 16-bit selector in an IA-32 logical address?,"Segment number (s), GDT or LDT indicator (g), and protection (p)."
What is the offset in an IA-32 logical address?,A 32-bit number representing the byte location within a segment.
How many segments can be addressed at once in an IA-32 machine?,"Six, using six segment registers."
How does IA-32 optimize segment descriptor access?,Six 8-byte microprogram registers (LDT/GDT cache) hold descriptors to avoid reading from memory for every reference.
What is the length of a linear address in IA-32?,32 bits long.
How is a linear address generated from a logical address in IA-32 segmentation?,A segment register points to an LDT/GDT entry; the base and limit from the segment descriptor are used. The offset is added to the base address.
What happens if an address is invalid during IA-32 segmentation's limit check?,"A memory fault occurs, trapping to the OS."
What are the possible page sizes in IA-32 paging?,4 KB or 4 MB.
What paging scheme does IA-32 use for 4-KB pages?,A two-level paging scheme.
How is a 32-bit linear address divided for 4-KB pages in IA-32 paging?,"Page number p1 (10 high-order bits), Page number p2 (10 inner bits), and Page offset d (12 low-order bits)."
What is the page directory in IA-32 paging?,"The outermost page table, referenced by the 10 high-order bits of the linear address."
What is the function of the CR3 register in IA-32 paging?,It points to the page directory for the current process.
How does the Page_Size flag in a page directory entry affect IA-32 paging?,"If set, the page frame is 4 MB, bypassing the inner page table."
How many low-order bits are used as the offset in a 4-MB page frame in IA-32 paging?,22 low-order bits.
How does IA-32 handle page tables that are not in memory?,"Page tables can be swapped to disk for efficiency; an invalid bit in the page directory entry indicates if a table is on disk, and the OS brings it into memory on demand."
What is the purpose of Page Address Extension (PAE) in IA-32?,"To allow 32-bit processors to access physical address space larger than 4 GB, addressing the 4-GB memory limitation of 32-bit architectures."
How does PAE change the paging scheme in IA-32?,It changes it from a two-level to a three-level scheme.
What are the top two bits of a linear address used for in IA-32 PAE?,They refer to the page directory pointer table.
What additional page size does PAE support?,2-MB pages.
How did PAE increase the address space capability?,"It increased page-directory and page-table entries from 32 to 64 bits, allowing the base address of page tables/frames to extend from 20 to 24 bits."
What is the total address space increased to with PAE and what is the maximum physical memory supported?,"36 bits (allowing up to 64 GB physical memory), by combining the 24-bit base address with a 12-bit offset."
What OS support is required for PAE?,"OS support is required (e.g., Linux, Mac support it; 32-bit Windows desktop is limited to 4 GB)."
What was Intel's initial 64-bit architecture and why was it not widely adopted?,"IA-64, later known as Itanium. It was not widely adopted."
Who developed the x86-64 architecture and what were its key features?,"AMD developed it, extending the existing IA-32 instruction set to support larger logical/physical address spaces and architectural advances."
"Why is ""x86-64"" the general term for current 64-bit Intel/AMD CPUs?","Because Intel adopted AMD's x86-64 architecture, and it describes a class of 64-bit CPUs running identical instruction sets."
What is the theoretical maximum address space for a 64-bit architecture?,2^64 bytes (16 quintillion / 16 exabytes).
What is the actual virtual address size used in the x86-64 architecture?,48-bit virtual address.
What page sizes does x86-64 support?,"4 KB, 2 MB, or 1 GB."
How many levels of paging hierarchy does x86-64 use?,Four levels.
What existing addressing scheme does x86-64 use for paging?,PAE (Page Address Extension).
What are the maximum virtual and physical address capabilities of x86-64?,"Supports 48-bit virtual addresses and 52-bit physical addresses (4,096 terabytes)."
"Define ""page directory"" (Intel IA-32).","In Intel IA-32 CPU architecture, the outermost page table."
"Define ""page address extension (PAE)"".",Intel IA-32 CPU hardware allowing 32-bit processors to access physical address space larger than 4GB.
"Define ""page directory pointer table"".",PAE pointer to page tables.
What is Itanium?,Intel IA-64 CPU.
What is AMD 64?,A 64-bit CPU designed by Advanced Micro Devices; part of the x86-64 class.
What is Intel 64?,"Intel 64-bit CPUs, part of the x86-64 class."
"Define ""x86-64"".",A class of 64-bit CPUs running identical instruction sets; common in desktop/server systems.
What type of devices commonly use ARM processors?,"Mobile devices (smartphones, tablets) and real-time embedded systems."
What is Intel's primary role in chip production?,Intel designs and manufactures chips.
What is ARM's primary role in chip production?,ARM only designs and licenses architectural designs to manufacturers.
Name some well-known devices that utilize ARM processors.,"Apple devices (like iPhone, iPad) and most Android devices."
"By quantity, what is the most widely used processor architecture?","ARM architecture, with over 100 billion processors produced."
What specific ARM architecture is the primary focus of study?,The 64-bit ARM v8 architecture.
What are the three translation granule sizes available in ARM v8?,"4 KB, 16 KB, and 64 KB."
What do translation granules in ARM v8 define or provide?,Different page sizes and larger contiguous memory sections called regions.
"For an ARM v8 4 KB translation granule, what are the associated page and region sizes?","Page size: 4 KB; Region sizes: 2 MB, 1 GB."
"For an ARM v8 16 KB translation granule, what are the associated page and region sizes?",Page size: 16 KB; Region size: 32 MB.
"For an ARM v8 64 KB translation granule, what are the associated page and region sizes?",Page size: 64 KB; Region size: 512 MB.
How many levels of paging do 4-KB and 16-KB translation granules support in ARM v8?,Up to four levels.
How many levels of paging do 64-KB translation granules support in ARM v8?,Up to three levels.
"What is the bit architecture of ARM v8, and how many bits are currently utilized?","ARM v8 is a 64-bit architecture, but only 48 bits are currently used."
"In a 4-KB granule paging structure where all four levels are used, which bits define the offset within a page?",Bits 0-11 (low-order 12 bits) refer to the offset within the 4-KB page.
"If a Level-1 table entry in ARM v8 refers to a 1-GB region, which bits are used as the offset?",Low-order 30 bits (0-29).
"If a Level-2 table entry in ARM v8 refers to a 2-MB region, which bits are used as the offset?",Low-order 21 bits (0-20).
How many levels of TLBs does the ARM architecture support?,Two levels.
What are the components of the inner level of ARM TLBs?,"Two micro TLBs (one for data, one for instructions); they support ASIDs."
What is the component of the outer level of ARM TLBs?,A single main TLB.
Where does the address translation process begin in ARM architecture?,At the micro-TLB level.
What happens during address translation if there is a micro-TLB miss?,The main TLB is checked.
What happens during address translation if both the micro-TLB and main TLB miss?,A page table walk is performed in hardware.
Define translation granules.,Features of ARM v8 CPUs defining page sizes and regions.
Define regions (in ARM v8 CPUs).,Contiguous memory areas with separate privilege and access rules.
Define translation table base register (TTBR).,ARM v8 CPU register pointing to the level 0 (outer) page table for the current thread.
Define micro TLB.,"ARM CPU inner-level TLBs, one for instructions and one for data."
Define main TLB.,ARM CPU outer-level TLB; checked after micro TLB lookup and before page table walk.
What is memory in modern computer systems?,"A large array of bytes, each with its own address."
How is address space allocation managed?,Using base and limit registers.
What is a Base register?,The smallest legal physical memory address.
What does 'Limit' specify in address space allocation?,The size of the address range.
What are the different times for binding symbolic address references to physical addresses?,"Compile time, Load time, Execution time."
What is a Logical address?,An address generated by the CPU.
What is an MMU (Memory Management Unit)?,A hardware component that translates a logical address to a physical address.
What is a Physical address?,"The actual address in physical memory, resulting from an MMU translation of a logical address."
Describe a common memory allocation approach.,Contiguous memory partitions of varying sizes.
What are the three common partition allocation strategies?,"First fit, Best fit, Worst fit."
Which memory management technique do modern OS typically use?,Paging.
How is Physical memory divided in paging?,Into fixed-sized blocks called frames.
What are Frames in the context of paging?,Fixed-sized blocks into which physical memory is divided.
How is Logical memory divided in paging?,Into blocks of the same size called pages.
What are Pages in the context of paging?,Blocks of the same size into which logical memory is divided.
How is a logical address divided in paging?,Into a page number and a page offset.
What is a Page number?,An index into a per-process page table.
What is a Page table?,A data structure that contains the frame in physical memory holding a specific page.
What is the Offset in paging?,The specific location within a frame.
What is a TLB (Translation Look-aside Buffer)?,A hardware cache of the page table.
What information does each TLB entry contain?,A page number and its corresponding frame.
Describe the steps of TLB in address translation.,"1. Get the page number from the logical address. 2. Check if the frame for the page is in the TLB. 3. If in TLB, the frame is obtained from TLB. 4. If not in TLB (TLB miss), retrieve the frame from the page table."
What is Hierarchical paging?,A method where the logical address is divided into multiple parts for different page table levels.
What problem arises with expanding addresses beyond 32 bits when using hierarchical paging?,A large number of hierarchical levels would be required.
What strategies are used to address the problem of a large number of hierarchical levels in paging?,Hashed page tables and Inverted page tables.
What is Swapping?,The process of moving pages to disk to increase the degree of multiprogramming.
"How many levels of page tables does the Intel 32-bit architecture typically use, and what page sizes does it support?","Two levels of page tables, supporting 4-KB or 4-MB page sizes."
What is Page-address extension (PAE)?,A feature that allows 32-bit processors to access a physical address space greater than 4 GB.
Which modern architectures use hierarchical paging for their 64-bit systems?,x86-64 and ARM v8 architectures.
